English,Translation,Key,File
Celebrate Wikipedia's 25th birthday by joining the 25-day reading challenge!,Raikan hari jadi ke-25 Wikipedia dengan menyertai cabaran membaca selama 25 hari!,reading-challenge-announcement-title,ms.lproj
Read 1 article a day for 25 days,Baca 1 laman rencana setiap hari selama 25 hari,reading-challenge-announcement-item1-title,ms.lproj
"Join the challenge anytime between 1 May and 31 May, complete your 25 days on your own timeline.","Sertai cabaran ini pada bila-bila masa antara 1 Mei hingga 31 Mei, dan lengkapkan 25 hari mengikut jadual anda sendiri.",reading-challenge-announcement-item1-subtitle,ms.lproj
Win prizes,Menangkan hadiahnya,reading-challenge-announcement-item2-title,ms.lproj
Complete a 25 day reading streak while the challenge is live to win special prizes,Lengkapkan cabaran membaca selama 25 hari berturutan untuk memenangkan hadiah yang istimewa.,,ms.lproj
Install the widget,Pasang perkakas pengingat,reading-challenge-announcement-item3-title,ms.lproj
Get helpful reminders and motivation with our adorable birthday mascot Baby Globe,"Dapatkan pengingat dan motivasi dengan maskot hari jadi kami yang comel, Baby Globe.",reading-challenge-announcement-item3-subtitle,ms.lproj
Your reading history is kept protected. Reading insights are calculated using locally stored data on your device.,Sejarah bacaan anda kekal terlindungi. Analisis mengenai bacaan dikira menggunakan data yang disimpan pada peranti Anda secara tempatan.,reading-challenge-announcement-subtitle,ms.lproj
Learn more,Ketahui lebih lanjut,learn-more-title,ms.lproj
Join the challenge,Sertai cabaran ini,reading-challenge-announcement-cta,ms.lproj
Log in to join the challenge,Log masuk untuk menyertai cabaran,reading-challenge-login-title,ms.lproj
Log in or create an account to track your progress towards the reading challenge,Log masuk atau cipta akaun untuk menjejaki kemajuan anda dalam cabaran membaca.,reading-challenge-login-message,ms.lproj
No thanks,"Tidak, terima kasih",notifications-center-onboarding-panel-secondary-button,ms.lproj
Log in / Join Wikipedia,Log masuk / Sertai Wikipedia,profile-page-join-title,ms.lproj
Install the 25-day reading challenge widget,Pasang widget Cabaran Membaca 25 Hari,,ms.lproj
Baby Globe is cheering you on. Add the Reading Challenge widget to track your progress from your homescreen.,Baby Globe menyokong anda. Tambahkan widget Cabaran Membaca untuk menjejaki kemajuan terus dari skrin utama.,reading-challenge-widget-announcement-body,ms.lproj
Got it,Faham,welcome-explore-tell-me-more-done-button,ms.lproj
Add,Tambah,explore-suggested-edits-footer,ms.lproj
Explore,Terokai,home-title,ms.lproj
Get ready to read,Bersedia untuk membaca,reading-challenge-not-live-yet-title,ms.lproj
A 25-day reading challenge is on the way.,Cabaran membaca 25 hari akan bermula tidak lama lagi.,reading-challenge-not-live-yet-subtitle,ms.lproj
Explore Wikipedia,Terokai Wikipedia,explore-wikipedia,ms.lproj
Join challenge,Sertai cabaran,reading-challenge-join-button-small,ms.lproj
"Ready, set, read!","Sedia, mula, baca!",reading-challenge-enrolled-not-started-title-ready,ms.lproj
Join the 25-day challenge and unlock special prizes.,Sertai cabaran 25 hari dan buka ganjaran istimewa.,reading-challenge-not-enrolled-subtitle,ms.lproj
"Start your reading challenge.
Every streak starts somewhere","Mulakan cabaran membaca anda.
Setiap streak bermula dari satu langkah",,ms.lproj
Spin up a new streak? Read one article to get started.,Mulakan streak baharu? Baca satu artikel untuk bermula.,,ms.lproj
A fresh start. Your streak is just one article away.,Permulaan baharu. Streak anda hanya selangkah lagi.,,ms.lproj
Search,Cari,search-title,ms.lproj
Random,Rawak,reading-challenge-random-button,ms.lproj
25-day reading challenge,Cabaran membaca 25 hari,reading-challenge-subtitle,ms.lproj
Curiosity accomplished!,Rasa ingin tahu tercapai!,,ms.lproj
Nicely read. Your streak is going strong.,Bacaan yang bagus. Streak anda semakin kukuh.,,ms.lproj
Momentum maintained 🔥,Momentum dikekalkan 🔥,,ms.lproj
One more day of learning. That’s something to be proud of!,Satu lagi hari pembelajaran. Memang membanggakan!,,ms.lproj
Streak: still sparkling ✨,Streak: masih bersinar ✨,,ms.lproj
Today’s reading keeps your streak alive.,Bacaan hari ini mengekalkan streak anda.,,ms.lproj
Progress looks good on you.,Kemajuan anda nampak hebat!,,ms.lproj
Your streak is going strong!,Streak anda semakin kukuh!,,ms.lproj
Gold star energy ⭐,Tenaga bintang emas ⭐,,ms.lproj
"Another day, another discovery.","Hari baharu, penemuan baharu.",,ms.lproj
That’s one more day of discovery in the books.,Satu lagi hari penemuan berjaya dicatat.,,ms.lproj
"Don’t let today drift by, your reading streak is waiting.","Jangan biarkan hari ini berlalu begitu sahaja, streak bacaan anda sedang menunggu.",,ms.lproj
"Before the day snoozes away…
there’s still time to learn something.","Masih ada masa untuk belajar sesuatu…
sebelum hari berakhir.",,ms.lproj
Even a small bit of reading counts towards your goal.,"Walaupun sedikit, bacaan tetap menyumbang kepada matlamat anda.",reading-challenge-not-yet-read-subtitle-bit,ms.lproj
Your streak is just one article away.,Streak anda hanya selangkah lagi.,reading-challenge-enrolled-not-started-subtitle-away,ms.lproj
Quiet reading moment?,Momen membaca yang tenang?,reading-challenge-not-yet-read-subtitle-quiet,ms.lproj
Jump in for some reading anytime today.,Mulakan bacaan pada bila-bila masa hari ini.,reading-challenge-not-yet-read-subtitle-jump,ms.lproj
Keep your curiosity going.,Teruskan rasa ingin tahu anda.,reading-challenge-not-yet-read-subtitle-curiosity,ms.lproj
25 of 25,25 daripada 25,,ms.lproj
Collect prize,Tuntut hadiah,reading-challenge-collect-prize-button-small,ms.lproj
You did it!,Anda berjaya!,reading-challenge-completed-title,ms.lproj
25 of 25 days,25 daripada 25 hari,reading-challenge-completed-subtitle,ms.lproj
Collect your prize!,Tuntut hadiah anda!,collect-prize-title,ms.lproj
Challenge Concluded,Cabaran Tamat,reading-challenge-concluded-title,ms.lproj
Collect your prizes,Tuntut hadiah anda,,ms.lproj
"One adorable badge, earned",Satu lencana comel telah diperoleh.,,ms.lproj
You completed the challenge and Baby Globe couldn't be prouder. Bask in your achievement with a digital badge for your activity tab.,Anda telah melengkapkan cabaran ini dan Baby Globe amat berbangga. Nikmati pencapaian anda dengan lencana digital di tab aktiviti.,,ms.lproj
25-day challenge badge,Lencana Cabaran 25 Hari,,ms.lproj
Curiosity looks good on you!,Rasa ingin tahu memang sesuai dengan anda!,,ms.lproj
Celebrate completing the challenge with 15% off at the Wikipedia Store,Raikan kejayaan menamatkan cabaran dengan diskaun 15% di Kedai Wikipedia.,collect-prize-subtitle,ms.lproj
Get 15% off at the store,Dapatkan diskaun 15% di kedai,collect-prize-button-title,ms.lproj
Completed challenges,Cabaran yang telah diselesaikan,,ms.lproj
1 day,{{PLURAL:$1|$1 hari}},reading-challenge-streak-days,ms.lproj
