Reference image,English copy,Note,Translation,
,,,,
,Celebrate Wikipedia's 25th birthday by joining the 25-day reading challenge!,,Raikan hari jadi ke-25 Wikipedia dengan menyertai cabaran membaca selama 25 hari!,
,Read 1 article a day for 25 days,,Baca 1 laman rencana setiap hari selama 25 hari,
,"Join the challenge anytime between $1 and $2, complete your 25 days on your own timeline.",,"Sertai cabaran ini pada bila-bila masa antara $1 hingga $2, dan lengkapkan 25 hari mengikut jadual anda sendiri.",
,Win prizes,,Menangkan hadiahnya,
,Complete a 25 day reading streak while the challenge is live to win special prizes,,Lengkapkan cabaran membaca selama 25 hari berturutan untuk memenangkan hadiah yang istimewa.,
,Install the widget,,Pasang perkakas pengingat,
,Get helpful reminders and motivation with our adorable birthday mascot Baby Globe,,"Dapatkan pengingat dan motivasi dengan maskot hari jadi kami yang comel, Baby Globe.",
,Your reading history is kept protected. Reading insights are calculated using locally stored data on your device.,,Sejarah bacaan anda kekal terlindungi. Analisis mengenai bacaan dikira menggunakan data yang disimpan pada peranti Anda secara tempatan.,
,Learn more,,Ketahui lebih lanjut,
,Join the challenge,,Sertai cabaran ini,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Log in to join the challenge,,Log masuk untuk menyertai cabaran,
,Log in or create an account to track your progress towards the reading challenge,,Log masuk atau cipta akaun untuk menjejaki kemajuan anda dalam cabaran membaca.,
,No thanks,,"Tidak, terima kasih",
,Log in / Join Wikipedia,,Log masuk / Sertai Wikipedia,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Install the 25-day reading challenge widget,,Pasang widget Cabaran Membaca 25 Hari,
,Baby Globe is cheering you on. Add the Reading Challenge widget to track your progress from your homescreen.,,Baby Globe menyokong anda. Tambahkan widget Cabaran Membaca untuk menjejaki kemajuan terus dari skrin utama.,
,Got it,,Faham,
,Add,,Tambah,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Explore,,Terokai,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Get ready to read,,Bersedia untuk membaca,
,A 25-day reading challenge is on the way.,,Cabaran membaca 25 hari akan bermula tidak lama lagi.,
,Explore Wikipedia,,Terokai Wikipedia,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Join challenge,,Sertai cabaran,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Ready, set, read!",,"Sedia, mula, baca!",
,Join the 25-day challenge and unlock special prizes.,,Sertai cabaran 25 hari dan buka ganjaran istimewa.,
,Join the challenge,,Sertai cabaran,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Explore,,Terokai,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Start your reading challenge.
Every streak starts somewhere",,"Mulakan cabaran membaca anda.
Setiap streak bermula dari satu langkah",
,Spin up a new streak? Read one article to get started.,,Mulakan streak baharu? Baca satu artikel untuk bermula.,
,A fresh start. Your streak is just one article away.,,Permulaan baharu. Streak anda hanya selangkah lagi.,
,Search,,Cari,
,Random,,Rawak,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,1 day,Note: The number of days will span from 1 to 25,1 hari,
,2 days,,2 hari,
,3 days,,3 hari,
,X days,,X hari,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,25-day reading challenge,,Cabaran membaca 25 hari,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Curiosity accomplished!,,Rasa ingin tahu tercapai!,
,Nicely read. Your streak is going strong.,,Bacaan yang bagus. Streak anda semakin kukuh.,
,Momentum maintained 🔥,,Momentum dikekalkan 🔥,
,One more day of learning. That’s something to be proud of!,,Satu lagi hari pembelajaran. Memang membanggakan!,
,,,,
,,,,
,,,,
,,,,
,Streak: still sparkling ✨,,Streak: masih bersinar ✨,
,Today’s reading keeps your streak alive.,,Bacaan hari ini mengekalkan streak anda.,
,Progress looks good on you.,,Kemajuan anda nampak hebat!,
,Your streak is going strong!,,Streak anda semakin kukuh!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Gold star energy ⭐,,Tenaga bintang emas ⭐,
,"Another day, another discovery.",,"Hari baharu, penemuan baharu.",
,That’s one more day of discovery in the books.,,Satu lagi hari penemuan berjaya dicatat.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Don’t let today drift by, your reading streak is waiting.",,"Jangan biarkan hari ini berlalu begitu sahaja, streak bacaan anda sedang menunggu.",
,"Before the day snoozes away…
there’s still time to learn something.",,"Masih ada masa untuk belajar sesuatu…
sebelum hari berakhir.",
,Even a small bit of reading counts towards your goal.,,"Walaupun sedikit, bacaan tetap menyumbang kepada matlamat anda.",
,Your streak is just one article away.,,Streak anda hanya selangkah lagi.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Quiet reading moment? ,,Momen membaca yang tenang?,
,Jump in for some reading anytime today.,,Mulakan bacaan pada bila-bila masa hari ini.,
,Keep your curiosity going.,,Teruskan rasa ingin tahu anda.,
,Your streak is just one article away.,,Streak anda hanya selangkah lagi.,
,,,,
,,,,
,,,,
,,,,
,25 of 25,,25 daripada 25,
,Collect prize,,Tuntut hadiah,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,You did it!,,Anda berjaya!,
,25 of 25 days,,25 daripada 25 hari,
,Collect your prize!,,Tuntut hadiah anda!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Challenge Concluded,,Cabaran Tamat,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Collect your prizes,,Tuntut hadiah anda,
,"One adorable badge, earned",,Satu lencana comel telah diperoleh.,
,You completed the challenge and Baby Globe couldn't be prouder. Bask in your achievement with a digital badge for your activity tab.,,Anda telah melengkapkan cabaran ini dan Baby Globe amat berbangga. Nikmati pencapaian anda dengan lencana digital di tab aktiviti.,
,25-day challenge badge,,Lencana Cabaran 25 Hari,
,Curiosity looks good on you!,,Rasa ingin tahu memang sesuai dengan anda!,
,Celebrate completing the challenge with 15% off at the Wikipedia Store,,Raikan kejayaan menamatkan cabaran dengan diskaun 15% di Kedai Wikipedia.,
,Get 15% off at the store,,Dapatkan diskaun 15% di kedai,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Completed challenges,,Cabaran yang telah diselesaikan,
,Read 1 article a day for 25 days,,Baca 1 artikel sehari selama 25 hari,
